table_name,date_column,approx_rows,earliest,latest
np4_752_cd_intra_hour_solar_power_forecast_by_geogr,content_date,30456,2026-08-28,2026-08-30
np4_751_cd_intra_hour_wind_power_forecast_by_geogra,content_date,27742,2026-08-28,2026-08-30
np4_200_cd_dam_de_energized_settlement_points_in_ba,deliverydate,22948,2026-08-01,2026-09-01
np3_257_ex_3_day_highest_price_bids_selected_or_dis,content_date,21522,2026-06-28,2026-08-29
np3_910_er_2_day_real_time_gen_and_load_data_report,content_date,18550,2026-06-29,2026-08-30
np3_907_ex_2_day_dam_energy_curves,content_date,11008,2026-08-26,2026-08-30
np4_188_cd_dam_clearing_prices_for_capacity,deliverydate,7525,2026-07-02,2026-09-02
np3_562_cd_intra_hour_load_forecast_by_weather_zone,content_date,3430,2026-08-28,2026-08-30
np3_909_er_2_day_dam_bids_and_offers_reports,content_date,1537,2026-06-29,2026-08-30
np3_764_cd_hourly_ruc_online_in_sced_offline_in_cop,deliverydate,1488,2026-07-01,2026-09-01
np4_532_cd_dam_total_ancillary_services_sold,deliverydate,720,2026-08-01,2026-08-29
np5_527_cd_daily_ruc_ancillary_service_deployment_f,deliverydate,432,2026-08-01,2026-08-29
np5_526_cd_projected_ancillary_service_deployments,deliverydate,432,2026-08-01,2026-08-29
np6_331_cd_real_time_clearing_prices_for_capacity_b,content_date,360,2026-08-28,2026-08-30
np6_332_cd_real_time_clearing_prices_for_capacity_b,content_date,360,2026-08-28,2026-08-30
np6_86_cd_sced_shadow_prices_and_binding_transmiss,content_date,324,2026-08-29,2026-08-30
np5_525_cd_weekly_ruc_ancillary_service_deployment,deliverydate,288,2026-08-01,2026-08-29
np5_754_cd_daily_ruc_active_and_binding_transmissio,content_date,170,2026-08-29,2026-08-31
np3_990_ex_60_day_sasm_disclosure_reports,content_date,106,2025-11-27,2025-11-27
np4_733_cd_wind_power_production_actual_5_minute_av,content_date,105,2026-08-28,2026-08-30
np4_738_cd_solar_power_production_actual_5_minute_a,content_date,105,2026-08-28,2026-08-30
np4_743_cd_wind_power_production_actual_5_minute_av,content_date,105,2026-08-28,2026-08-30
np4_746_cd_solar_power_production_actual_5_minute_a,content_date,105,2026-08-28,2026-08-30
np6_345_cd_actual_system_load_by_weather_zone,operday,96,2026-08-01,2026-08-29
np6_323_cd_real_time_price_adders_by_sced_interval,content_date,72,2026-08-28,2026-08-30
np4_412_cd_emergency_pricing_program_cumulative_hou,content_date,72,2026-08-28,2026-08-30
np4_742_cd_wind_power_production_hourly_averaged_ac,delivery_date,72,2026-08-01,2026-08-29
np4_737_cd_solar_power_production_hourly_averaged_a,delivery_date,72,2026-08-01,2026-08-29
np4_523_cd_dam_system_lambda,deliverydate,72,2026-08-01,2026-08-29
np6_344_cd_actual_system_load_by_study_area,operatingday,72,2026-08-27,2026-08-29
np6_324_cd_real_time_price_adders_for_15_minute_set,content_date,72,2026-08-28,2026-08-30
np6_346_cd_actual_system_load_by_forecast_zone,operday,72,2026-08-01,2026-08-29
np4_745_cd_solar_power_production_hourly_averaged_a,delivery_date,72,2026-08-01,2026-08-29
np4_732_cd_wind_power_production_hourly_averaged_ac,delivery_date,72,2026-08-01,2026-08-29
np4_722_cd_weather_assumptions,deliverydate,72,2026-08-01,2026-08-29
np6_322_cd_sced_system_lambda,content_date,72,2026-08-28,2026-08-30
np6_915_cd_summary_report_of_hdl_and_ldl,content_date,72,2026-08-28,2026-08-30
np6_625_cd_state_estimator_load_report_total_ercot,content_date,49,2026-08-27,2026-08-30
np6_328_cd_total_capability_of_resources_available,content_date,48,2026-08-28,2026-08-29
np5_108_cd_hourly_rmr_services_deployed,content_date,32,2026-08-29,2026-08-30
np4_179_cd_total_ancillary_service_offers,content_date,24,2025-12-05,2025-12-05
np3_911_er_2_day_dam_ancillary_services_reports,content_date,24,2026-08-18,2026-08-18
np5_528_cd_hourly_ruc_ancillary_service_deployment,deliverydate,18,2026-08-01,2026-08-29
np5_755_cd_hourly_ruc_active_and_binding_transmissi,deliverydate,13,2026-08-01,2026-08-29
np6_235_cd_system_wide_demand,deliverydate,9,2026-08-01,2026-08-29
np6_626_cd_state_estimator_load_report_dc_ties_flow,content_date,8,2026-08-29,2026-08-30
np4_791_cd_day_ahead_and_real_time_system_wide_offe,content_date,4,2026-08-29,2026-08-30
np4_790_cd_peaker_net_margin,asofdate,3,2026-08-01,2026-08-29
